	Reacciones	FlujosN2
259	BETALDHxm	0.0
260	BHBtm	-26.664528366305753
261	BHMT	26.664528366305614
262	BILDGLCURte	0.0
263	BILDGLCURtr	0.0
264	BILGLCURte	0.0
265	BILIRED	0.0
266	BILIRUBtr	0.0
267	BIOCYTtn	0.0
268	BMTer_U	0.0
269	BPNT2	0.0
270	BTND1	0.0
271	BTND1n	0.0
272	BTNDe	0.0
273	BTNDm	0.0
274	BTNPL	0.0
275	BTNPLm	0.0
276	BTNt2	0.0
277	BTNt4i	0.0
278	BUTt2m	0.0
279	BZt	0.0
280	BZtr	0.0
281	C14STRr	0.0
282	C160CPT1	0.0
283	C160CPT2	0.0
284	C160CRNt	0.0
285	C161CPT1	0.0
286	C161CPT12	0.0
287	C161CPT2	0.0
288	C161CPT22	0.0
289	C161CRN2t	0.0
290	C161CRNt	0.0
291	C180CPT1	-1.297281110940977e-13
292	C180CPT2	-1.297281110940977e-13
293	C180CRNt	0.0
294	C181CPT1	0.0
295	C181CPT2	0.0
296	C181CRNt	0.0
297	C204CPT1	0.0
298	C204CPT2	0.0
299	C204CRNt	0.0
300	C226CPT1	0.0
301	C226CPT2	0.0
302	C3STDH1Pr	0.0
303	C3STDH1r	0.0
304	C3STKR2r	0.0
305	C4STMO1r	0.0
306	C4STMO2Pr	0.0
307	C4STMO2r	0.0
308	CAATPS	0.0
309	CAT2p	0.0
310	CAt7r	0.0
311	CATm	250.0
312	CATp	13.33226418315281
313	CBPPer	0.0
314	CBPter	0.0
315	CBR2	0.0
316	CDIPTr	-3.271458442519805
317	CDS	0.0
318	CDSm	0.0
319	CEPTC	0.0
320	CEPTE	0.0
321	CERK	0.0
322	CERT1gt	0.0
323	CERT1rt	0.0
324	CERT2rt	0.0
325	CH25H	0.0
326	CHLP	0.0
327	CHLPCTD	0.0
328	CHOLD2m	0.0
329	CHOLK	0.0
330	CHOLPtg	0.0
331	CHOLPtl	0.0
332	CHOLt4	74.91587451122845
333	CHOLtg	0.0
334	CHOLtr	0.0
335	CHOLtu	0.0
336	CHSTEROLSULT	0.0
337	CHSTEROLt1	0.0
338	CHSTEROLt3	0.0
339	CHTNASE	0.0
340	CITRtm	0.0
341	CITtam	0.0
342	CITtbm	0.0
343	CK	0.0
344	CKc	0.0
345	CLHCO3tex2	0.0
346	CLOHtex2	0.0
347	CLPNDCOAtx	0.0
348	CLPNDCPT1	0.0
349	CLPNDCPT2	0.0
350	CLPNDCRNt	0.0
351	CLS_hs	3.2714584425198057
352	CMPACNAtg	0.0
353	CMPACNAtn	0.0
354	CMPSAS	0.0
355	CMPSASn	0.0
356	CO2ter	-648.8903144224631
357	CO2tg	0.0
358	CO2tp	0.0
359	COAtg	0.0
360	COAtl	0.0
361	COAtm	-1.297281110940977e-13
362	COKECBESr	0.0
363	COQ3m	0.0
364	COQ5m	0.0
365	COQ6m	0.0
366	COQ7m	0.0
367	CORE2GTg	0.0
368	CORE6GTg	0.0
369	COt	0.0
370	COUCOAFm	0.0
371	COUMARINte	0.0
372	CREATt4_2_r	0.0
373	CREATtmdiffir	0.0
374	CRNCAR3tp	0.0
375	CRNCARtp	0.0
376	CRNt	0.0
377	CRNtHa	0.0
378	CRNtim	0.0
379	CRTSLtm	0.0
380	CRTSLtr	-648.8903144224629
381	CRTSTRNt	0.0
382	CSAPASEly	0.0
383	CSBPASEly	0.0
384	CSCPASEly	0.0
385	CSDPASEly	0.0
386	CSEPASEly	0.0
387	CSm	0.0
388	CSNAT2m	0.0
389	CSNAT2x	0.0
390	CSNAT3x	0.0
391	CSNATer	0.0
392	CSNATm	0.0
393	CSNATp	0.0
394	CSNATr	0.0
395	CSPG_At	0.0
396	CSPG_Atly	0.0
397	CSPG_Bt	0.0
398	CSPG_Btly	0.0
399	CSPG_Ct	0.0
400	CSPG_Ctly	0.0
401	CSPG_Dt	0.0
402	CSPG_Dtly	0.0
403	CSPG_Et	0.0
404	CSPG_Etly	0.0
405	CTPtn	0.0
406	CYANt	1000.0
407	CYANtm	1000.0
408	CYSGLTH	0.0
409	CYSGLUexR	0.0
410	CYSGLYexR	0.0
411	CYSO	0.0
412	CYSTA	1000.0000000000005
413	CYStec	0.0
414	CYTD	0.0
415	CYTDK1	0.0
416	CYTDt	-42.37480628122994
417	CYTDtl	0.0
418	CYTK10	0.0
419	CYTK10n	0.0
420	CYTK11	0.0
421	CYTK11n	0.0
422	CYTK12	0.0
423	CYTK12n	0.0
424	CYTK13	0.0
425	CYTK13n	0.0
426	CYTK14	0.0
427	CYTK14n	0.0
428	CYTK1m	0.0
429	CYTK1n	0.0
430	CYTK2n	0.0
431	CYTK3n	0.0
432	CYTK4n	0.0
433	CYTK5	42.37480628122993
434	CYTK5n	0.0
435	CYTK6	0.0
436	CYTK6n	0.0
437	CYTK7	0.0
438	CYTK7n	0.0
439	CYTK8	0.0
440	CYTK8n	0.0
441	CYTK9	-42.37480628122994
442	CYTK9n	0.0
443	D_3AIBt	0.0
444	DADA	0.0
445	DADAe	0.0
446	DADNt4	0.0
447	DAG_HSter	0.0
448	DAGK_hs	4.906907044596099
449	DAGKn_hs	0.0
450	DAGt	0.0
451	DALAt2r	0.0
452	DASCBR	0.0
453	DASPO1p	0.0
454	DCIm	0.0
455	DCK1n	0.0
456	DCK2n	0.0
457	DCSPTN1CPT1	0.0
458	DCSPTN1CPT2	0.0
459	DCSPTN1CRNt	0.0
460	DCT	0.0
461	DCTPtn	0.0
462	DCYTD	0.0
463	DDPGAm	0.0
464	DECDPtm	0.0
465	DESAT16_2	0.0
466	DESAT18_10	0.0
467	DESAT18_3	0.0
468	DESAT18_4	0.0
469	DESAT18_5	0.0
470	DESAT18_6	0.0
471	DESAT18_7	0.0
472	DESAT18_8	0.0
473	DESAT18_9	0.0
474	DESAT20_1	0.0
475	DESAT20_2	0.0
476	DESAT22_1p	0.0
477	DESAT24_1	0.0
478	DGAT	0.0
479	DGK2m	0.0
480	DGNSKm	0.0
481	DGSNtm	0.0
482	DGULND	-1000.0000000000001
483	DHAAt1r	0.0
484	DHCR241r	0.0
485	DHCR242r	0.0
486	DHCR243r	0.0
487	DHCR71r	0.0
488	DHCR72r	0.0
489	DHCRD1	0.0
490	DHCRD2	0.0
491	DHDPBMTm	0.0
492	DHEASt	648.890314422463
493	DHEAStr	0.0
494	DHEASULT	0.0
495	DHEAtr	-648.890314422463
496	DHFtl	0.0
497	DHFtm	0.0
498	DHORD9	0.0
499	DHPM1	0.0
500	DHPM2	0.0
501	DIDPtn	0.0
502	DIGALSIDEtg	0.0
503	DIGALSIDEtl	0.0
504	DINt	0.0
505	DITPtn	0.0
506	D_LACtm	-973.3354716336939
507	DLNLCGCPT1	0.0
508	DLNLCGCPT2	0.0
509	DLNLCGCRNt	0.0
510	DM_Asn_X_Ser_Thr_ly_	0.0
511	DM_dctp_m_	0.0
512	DM_dem2emgacpail_prot_hs_r_	0.0
513	DM_dgpi_prot_hs_r_	0.0
514	DM_dttp_m_	0.0
515	DM_gpi_sig_er_	0.0
516	DM_kdn_c_	0.0
517	DM_mem2emgacpail_prot_hs_r_	0.0
518	DM_Ser_Gly_Ala_X_Gly_ly_	0.0
519	DMATTx	0.0
520	DMGDHm	0.0
521	DMGtm	0.0
522	DMHPTCRNCPT2	0.0
523	DMHPTCRNte	0.0
524	DMNONCRNCPT2	0.0
525	DNDPt25m	0.0
526	DNDPt28m	0.0
527	DOLGLCP_Lter	0.0
528	DOLGPP_Ler	0.0
529	DOLICHOL_Lter	0.0
530	DOLICHOL_Uter	0.0
531	DOLK_U	0.0
532	DOLMANP_Uter	0.0
533	DOLPGT3_Ler	0.0
534	DOLPGT3_Uer	0.0
535	DOLPMT3_Uer	0.0
536	DOLPMT4_Uer	0.0
537	DOPABMO	0.0
538	DOPAMT	0.0
539	DOPAQNISO1	0.0
540	DOPASFt	0.0
541	DOPASULT	0.0
542	DOPAtu	0.0
543	DPCOAtl	0.0
544	DPGase	0.0
545	DPGM	0.0
546	DPHMBDCm	0.0
547	DPMVDx	0.0
548	DPPS	0.0
549	DRPA	0.0
550	DSAT	0.0
551	DUDPtn	0.0
552	DUMPtn	0.0
553	DURAD	0.0
554	DURAD2	0.0
555	DURIK1	53.32905673261124
556	DURIK1m	0.0
557	DUTPDPm	0.0
558	DUTPDPn	0.0
559	EAFLATOXINte	0.0
560	EBASTINEOHte	0.0
561	EBASTINEOHtr	0.0
562	EBASTINEte	0.0
563	EBASTINEtr	0.0
564	EBP1r	0.0
565	EBP2r	0.0
566	ECOAH12m	53.329056732611356
567	ECOAH1m	0.0
568	ECOAH1x	0.0
569	ECOAH9m	0.0
570	EHGLAT2m	0.0
571	EHGLATm	0.0
572	EICOSTETCPT1	0.0
573	EICOSTETCPT2	0.0
574	EICOSTETCRNt	0.0
575	ELAIDCPT1	0.0
576	ELAIDCPT2	0.0
577	ELAIDCRNt	0.0
578	ENGASE2ly	0.0
579	ENGASE3ly	0.0
580	ENGASEly	0.0
581	ESTRADIOLt	0.0
582	ESTRADIOLtr	0.0
583	ESTRIOLtr	0.0
584	ESTRONESt	0.0
585	ESTRONEtr	0.0
586	ESTSULT	0.0
587	ETF	0.0
588	ETFQO	0.0
589	ETHAK	0.0
590	ETHP	0.0
591	ETOHMO	0.0
592	ETOHtx	0.0
593	EX_10fthf[e]	205.6409333928171
594	EX_10fthf7glu[e]	-205.6409333928171
595	EX_13_cis_retnglc[e]	0.0
596	EX_24nph[e]	0.0
597	EX_2hb[e]	1000.0000000000001
598	EX_34dhoxpeg[e]	0.0
599	EX_3aib[e]	0.0
600	EX_3aib_D[e]	0.0
601	EX_3mlda[e]	0.0
602	EX_4hphac[e]	0.0
603	EX_4mptnl[e]	0.0
604	EX_4nphsf[e]	0.0
605	EX_4pyrdx[e]	0.0
606	EX_5adtststerones[e]	648.8903144224631
607	EX_5fthf[e]	-59.33561681804447
608	EX_5mthf[e]	120.71960564609715
609	EX_6htststerone[e]	0.0
610	EX_7dhf[e]	0.0
611	EX_7thf[e]	-61.38398882805264
612	EX_ach[e]	0.0
613	EX_acnacngal14acglcgalgluside_hs[e]	0.0
614	EX_acngalacglcgal14acglcgalgluside_hs[e]	0.0
615	EX_adprbp[e]	0.0
616	EX_aflatoxin[e]	0.0
617	EX_aldstrn[e]	0.0
618	EX_aprgstrn[e]	0.0
619	EX_asp_D[e]	0.0
620	EX_atp[e]	-78.5334299468652
621	EX_bhb[e]	26.66452836630575
622	EX_bildglcur[e]	0.0
623	EX_bilglcur[e]	0.0
624	EX_biocyt[e]	0.0
625	EX_chol[e]	-74.91587451122845
626	EX_chsterol[e]	-5.724911964817855
627	EX_chtn[e]	0.0
628	EX_co[e]	0.0
629	EX_coumarin[e]	0.0
630	EX_crtstrn[e]	0.0
631	EX_cspg_a[e]	0.0
632	EX_cspg_b[e]	0.0
633	EX_cspg_c[e]	0.0
634	EX_cspg_d[e]	0.0
635	EX_cyan[e]	-1000.0
636	EX_dheas[e]	-648.890314422463
637	EX_dhf[e]	0.0
638	EX_dmhptcrn[e]	0.0
639	EX_dopasf[e]	0.0
640	EX_eaflatoxin[e]	0.0
641	EX_ebastine[e]	0.0
642	EX_ebastineoh[e]	0.0
643	EX_estradiol[e]	0.0
644	EX_estrones[e]	0.0
645	EX_fuc13galacglcgal14acglcgalgluside_hs[e]	0.0
646	EX_fucacngal14acglcgalgluside_hs[e]	0.0
647	EX_fuc_L[e]	0.0
648	EX_gd1c_hs[e]	0.0
649	EX_glyc_S[e]	0.0
650	EX_glygn2[e]	0.0
651	EX_glygn4[e]	0.0
652	EX_gp1c_hs[e]	0.0
653	EX_gp1calpha_hs[e]	0.0
654	EX_gq1b_hs[e]	0.0
655	EX_gq1balpha_hs[e]	0.0
656	EX_gthox[e]	0.0
657	EX_gthrd[e]	-13.06871599987902
658	EX_gtp[e]	0.0
659	EX_hcoumarin[e]	0.0
660	EX_hestratriol[e]	0.0
661	EX_hom_L[e]	0.0
662	EX_htaxol[e]	0.0
663	EX_i[e]	0.0
664	EX_idp[e]	0.0
665	EX_imp[e]	0.0
666	EX_inost[e]	-6.542636265856002
667	EX_ksi[e]	0.0
668	EX_ksi_deg1[e]	0.0
669	EX_ksii_core2[e]	0.0
670	EX_ksii_core4[e]	0.0
671	EX_leuktrB4[e]	0.0
672	EX_leuktrC4[e]	-46.371719803989635
673	EX_leuktrE4[e]	46.37171980398964
674	EX_lgnc[e]	0.0
675	EX_lipoate[e]	-1000.0
676	EX_lnlc[e]	0.0
677	EX_lnlnca[e]	0.0
678	EX_lnlncg[e]	0.0
679	EX_lpchol_hs[e]	0.0
680	EX_mercplaccys[e]	0.0
681	EX_n2m2nmasn[e]	0.0
682	EX_nad[e]	0.0
683	EX_nadp[e]	0.0
684	EX_nifedipine[e]	0.0
685	EX_no[e]	0.0
686	EX_nrpphrsf[e]	0.0
687	EX_nrvnc[e]	0.0
688	EX_o2s[e]	-1000.0
689	EX_oagd3_hs[e]	0.0
690	EX_oagt3_hs[e]	0.0
691	EX_octa[e]	0.0
692	EX_oxa[e]	0.0
693	EX_pe_hs[e]	-15.539006673193663
694	EX_peplys[e]	0.0
695	EX_pglyc_hs[e]	-4.089182743557952
696	EX_phyt[e]	0.0
697	EX_prgstrn[e]	0.0
698	EX_prostgd2[e]	0.0
699	EX_prostge1[e]	0.0
700	EX_prostge2[e]	0.0
701	EX_ps_hs[e]	-54.79426302996246
702	EX_ptdca[e]	0.0
703	EX_s2l2fn2m2masn[e]	0.0
704	EX_s2l2n2m2masn[e]	0.0
705	EX_sl_L[e]	0.0
706	EX_spc_hs[e]	0.0
707	EX_sphs1p[e]	0.0
708	EX_strch1[e]	0.0
709	EX_strch2[e]	0.0
710	EX_tagat_D[e]	0.0
711	EX_taxol[e]	0.0
712	EX_tchola[e]	0.0
713	EX_tcynt[e]	1000.0000000000002
714	EX_tetpent3[e]	0.0
715	EX_tetpent6[e]	0.0
716	EX_tettet6[e]	0.0
717	EX_triodthy[e]	0.0
718	EX_tststerones[e]	0.0
719	EX_tsul[e]	-1000.0
720	EX_txa2[e]	0.0
721	EX_tymsf[e]	0.0
722	EX_urate[e]	1000.0
723	EX_utp[e]	-1000.0
724	EX_whhdca[e]	0.0
725	EX_whtststerone[e]	0.0
726	EX_xolest_hs[e]	0.0
727	EX_xoltri24[e]	0.0
728	EX_xoltri25[e]	0.0
729	EX_xoltri27[e]	0.0
730	F1PGT	0.0
731	FACOAL140i	0.0
732	FACOAL150	0.0
733	FACOAL160i	0.0
734	FACOAL170	0.0
735	FACOAL180i	0.0
736	FACOAL1812	0.0
737	FACOAL1813	0.0
738	FACOAL181i	0.0
739	FACOAL1821	0.0
740	FACOAL1822	0.0
741	FACOAL1831	0.0
742	FACOAL1832	0.0
743	FACOAL184	0.0
744	FACOAL191	0.0
745	FACOAL200	0.0
746	FACOAL203	0.0
747	FACOAL204	0.0
748	FACOAL2042	0.0
749	FACOAL205	0.0
750	FACOAL206	0.0
751	FACOAL224	0.0
752	FACOAL2251	0.0
753	FACOAL2252	0.0
754	FACOAL226	0.0
755	FACOAL240	0.0
756	FACOAL241	0.0
757	FACOAL244_1	0.0
758	FACOAL245_1	0.0
759	FACOAL245_2	0.0
760	FACOAL246_1	0.0
761	FACOAL260	0.0
762	FACOAL40im	0.0
763	FACOAL80i	0.0
764	FADDP	0.0
765	FADH2tru	0.0
766	FADtru	0.0
767	FAEL183	0.0
768	FAEL184	0.0
769	FAEL204	0.0
770	FAEL205	0.0
771	FALDH	0.0
772	FALDtm	0.0
773	FAOXC11	0.0
774	FAOXC140	0.0
775	FAOXC150m	0.0
776	FAOXC160	0.0
777	FAOXC16080m	0.0
778	FAOXC16080x	0.0
779	FAOXC161802m	0.0
780	FAOXC16180m	0.0
781	FAOXC170m	0.0
782	FAOXC180	0.0
783	FAOXC180x	0.0
784	FAOXC1811601m	0.0
785	FAOXC1811602m	0.0
786	FAOXC1811603m	0.0
787	FAOXC182806m	0.0
788	FAOXC18280m	0.0
789	FAOXC183803m	0.0
790	FAOXC183806m	0.0
791	FAOXC183806x	0.0
792	FAOXC18480m	0.0
793	FAOXC18480x	0.0
794	FAOXC200180m	1.297281110940977e-13
795	FAOXC200180x	0.0
796	FAOXC2031836m	0.0
797	FAOXC204	0.0
798	FAOXC204184m	0.0
799	FAOXC2051843m	0.0
800	FAOXC2051843x	0.0
801	FAOXC2242046m	0.0
802	FAOXC2242046x	0.0
803	FAOXC2251836m	0.0
804	FAOXC2251836x	0.0
805	FAOXC2252053m	0.0
806	FAOXC2252053x	0.0
807	FAOXC226	0.0
808	FAOXC226205m	0.0
809	FAOXC226205x	0.0
810	FAOXC240200x	0.0
811	FAOXC241181x	0.0
812	FAOXC2442246x	0.0
813	FAOXC2452253x	0.0
814	FAOXC2452256x	0.0
815	FAOXC246226x	0.0
816	FAOXC260240x	0.0
817	FAOXC80	0.0
818	FAS100COA	0.0
819	FAS120COA	0.0
820	FAS140COA	0.0
821	FAS160COA	0.0
822	FAS180COA	0.0
823	FAS80COA_L	0.0
824	FATP1t	0.0
825	FATP2t	0.0
826	FATP3t	0.0
827	FATP5t	-13.068715999879021
828	FATP8t	0.0
829	FATP9t	0.0
830	FBA4	0.0
831	FBA5	0.0
832	FBP26	0.0
833	FCLTm	0.0
834	FCOAH	0.0
835	FDH	0.0
836	FE3R2e	0.0
837	FK	0.0
838	FKYNH	0.0
839	FOLR2	0.0
840	FOLt2	-675.784374136423
841	FORMCOAtx	0.0
842	FORt2m	0.0
843	FORtr	0.0
844	FPGS2	0.0
845	FPGS2m	0.0
846	FPGS3	0.0
847	FPGS3m	0.0
848	FPGS4	0.0
849	FPGS4m	0.0
850	FPGS5	0.0
851	FPGS5m	0.0
852	FPGS6	0.0
853	FPGS6m	0.0
854	FPGS7m	0.0
855	FPGS8	0.0
856	FPGS8m	0.0
857	FPGS9	0.0
858	FPGS9m	0.0
859	FPGSm	0.0
860	FRDPtr	0.0
861	FRUt1r	0.0
862	FTHFDH	0.0
863	FTHFLm	0.0
864	FUC13GALACGLCGAL14ACGLCGALGLUSIDEte	0.0
865	FUCACNGAL14ACGLCGALGLUSIDEte	0.0
866	FUCASE2e	0.0
867	FUCASE2ly	0.0
868	FUCASEe	0.0
869	FUCASEly	0.0
870	FUCtly	0.0
871	FUMm	439.0608316270847
872	FUMSO3tm	0.0
873	FUMSO4tm	0.0
874	FUMtm	0.0
875	FUMTSULtm	0.0
876	G14T2g	0.0
877	G14T3g	0.0
878	G14T4g	0.0
879	G14T5g	0.0
880	G3PD2m	0.0
881	G5SADrm	0.0
882	G5SDym	0.0
883	G6PDH1rer	0.0
884	G6PDH2rer	648.890314422463
885	G6PPer	98.33124965126453
886	G6Pter	747.2215640737277
887	GACMTRc	0.0
888	GACPAILter	0.0
889	GALASE10ly	0.0
890	GALASE11ly	0.0
891	GALASE12ly	0.0
892	GALASE13ly	0.0
893	GALASE14ly	0.0
894	GALASE15ly	0.0
895	GALASE16ly	0.0
896	GALASE17ly	0.0
897	GALASE18ly	0.0
898	GALASE19ly	0.0
899	GALASE1ly	0.0
900	GALASE20ly	0.0
901	GALASE3ly	0.0
902	GALASE4ly	0.0
903	GALASE5ly	0.0
904	GALASE6ly	0.0
905	GALASE7ly	0.0
906	GALASE8ly	0.0
907	GALASE9ly	0.0
908	GALC	0.0
909	GALGLUSIDEtl	0.0
910	GALGT1	0.0
911	GALGT2	0.0
912	GALGT3	0.0
913	GALGT4	0.0
914	GALNACT1g	0.0
915	GALNACT2g	0.0
916	GALNACT3g	0.0
917	GALNACT4g	0.0
918	GALNACT5g	0.0
919	GALNTg	0.0
920	GALOR	487.85901072417965
921	GALSIDEtg	0.0
922	GALSIDEtl	0.0
923	GALt1r	487.85901072417965
924	GALT2g	0.0
925	GALTg	0.0
926	GALtly	0.0
927	GAMt1r	0.0
928	GAO1	0.0
929	GAO1g	0.0
930	GAO2	0.0
931	GAO2g	0.0
932	GARFT	0.0
933	GASNASE2ly	0.0
934	GASNASE3ly	0.0
935	GASNASEly	0.0
936	GBA	4.906907044596099
937	GBAl	0.0
938	GBGT1	0.0
939	GBSIDEtl	0.0
940	GCALDDm	0.0
941	GCC2am	0.0
942	GCC2bim	0.0
943	GCC2cm	1000.0000000000001
