	Reacciones	FlujosC3
262	BAMPPALDOX	0.0
263	BDHm	0.0
264	BETALDHxm	0.0
265	BHBtm	0.0
266	BHMT	-1.1889017667883917e-13
267	BILGLCURte	0.0
268	BILIRED	0.0
269	BIOCYTtn	0.0
270	BMTer_U	0.0
271	BPNT2	0.0
272	BTND1	0.0
273	BTND1n	0.0
274	BTNDe	0.0
275	BTNDm	0.0
276	BTNPL	0.0
277	BTNPLm	0.0
278	BTNt2	0.0
279	BUTt2m	0.0
280	BZt	0.0
281	BZtr	0.0
282	C14STRr	0.0
283	C160CPT1	-4.781513440427847
284	C160CPT2	-4.781513440427848
285	C160CRNt	0.0
286	C161CPT1	0.0
287	C161CPT12	0.0
288	C161CPT2	0.0
289	C161CPT22	4.781513440427846
290	C161CRN2t	0.0
291	C161CRNt	0.0
292	C180CPT1	0.0
293	C180CPT2	0.0
294	C180CRNt	0.0
295	C181CPT1	0.0
296	C181CPT2	0.0
297	C181CRNt	0.0
298	C204CPT1	0.0
299	C204CPT2	0.0
300	C204CRNt	0.0
301	C226CPT1	0.0
302	C226CPT2	0.0
303	C3STDH1Pr	0.0
304	C3STDH1r	0.0
305	C3STKR2r	0.0
306	C4STMO1r	0.0
307	C4STMO2Pr	0.0
308	C4STMO2r	0.0
309	CAATPS	0.0
310	CAT2p	0.0
311	CAt7r	0.0
312	CATm	361.68543966005495
313	CATp	-1.2196262626636684e-13
314	CBPPer	0.0
315	CBPter	0.0
316	CBR2	0.0
317	CDIPTr	-2.8226509384624325
318	CDS	0.0
319	CDSm	0.0
320	CEPTC	0.0
321	CEPTE	0.0
322	CERK	0.0
323	CERT1gt	0.0
324	CERT1rt	0.0
325	CH25H	0.0
326	CHLP	0.0
327	CHLPCTD	0.0
328	CHOLD2m	0.0
329	CHOLK	0.0
330	CHOLPtg	0.0
331	CHOLPtl	0.0
332	CHOLt4	41.63180118930017
333	CHOLtg	0.0
334	CHOLtr	0.0
335	CHOLtu	0.0
336	CHSTEROLt1	0.0
337	CHSTEROLt3	0.0
338	CHTNASE	0.0
339	CITRtm	0.0
340	CITt4_2	0.0
341	CITtam	0.0
342	CITtbm	0.0
343	CK	0.0
344	CKc	0.0
345	CLFORtex	0.0
346	CLOHtex2	0.0
347	CLPNDCOAtx	0.0
348	CLPNDCPT1	0.0
349	CLPNDCPT2	0.0
350	CLPNDCRNt	0.0
351	CLS_hs	2.8226509384624325
352	CMPACNAtg	0.0
353	CMPACNAtn	0.0
354	CMPSAS	0.0
355	CMPSASn	0.0
356	CO2ter	0.0
357	CO2tg	0.0
358	CO2tp	0.0
359	COAtg	0.0
360	COAtl	0.0
361	COAtm	3.60918001374106e-13
362	COKECBESr	0.0
363	COQ3m	0.0
364	COQ5m	0.0
365	COQ6m	0.0
366	COQ7m	0.0
367	CORE2GTg	0.0
368	CORE6GTg	0.0
369	COt	0.0
370	COUCOAFm	0.0
371	COUMARINte	0.0
372	CREATt4_2_r	0.0
373	CREATtmdiffir	0.0
374	CRNCAR3tp	0.0
375	CRNCARtp	-1.6671343447185926e-13
376	CRNtim	8.111441091419524e-16
377	CRTSLtm	0.0
378	CRTSLtr	0.0
379	CRTSTRNt	0.0
380	CSAPASEly	0.0
381	CSBPASEly	0.0
382	CSCPASEly	0.0
383	CSDPASEly	0.0
384	CSEPASEly	0.0
385	CSm	52.596647844706055
386	CSNAT2m	0.0
387	CSNAT2x	0.0
388	CSNAT3x	0.0
389	CSNATer	0.0
390	CSNATm	-1.4240105861137983e-13
391	CSNATp	-1.424010586113798e-13
392	CSNATr	0.0
393	CSPG_At	0.0
394	CSPG_Atly	0.0
395	CSPG_Bt	0.0
396	CSPG_Btly	0.0
397	CSPG_Ct	0.0
398	CSPG_Ctly	0.0
399	CSPG_Dt	0.0
400	CSPG_Dtly	0.0
401	CSPG_Et	0.0
402	CSPG_Etly	0.0
403	CTPtn	0.0
404	CYANt	0.0
405	CYANtm	0.0
406	CYSGLTH	0.0
407	CYSGLUexR	0.0
408	CYSGLYexR	0.0
409	CYSO	56.15006739061363
410	CYSTA	204.2448255583979
411	CYStec	0.0
412	CYTD	0.0
413	CYTDK1	9.451449822767183
414	CYTDt	9.451449822767183
415	CYTDtl	0.0
416	CYTK10	0.0
417	CYTK10n	0.0
418	CYTK11	0.0
419	CYTK11n	0.0
420	CYTK12	0.0
421	CYTK12n	0.0
422	CYTK13	0.0
423	CYTK13n	0.0
424	CYTK14	0.0
425	CYTK14n	0.0
426	CYTK1m	0.0
427	CYTK1n	0.0
428	CYTK2n	-109.51779107831167
429	CYTK3	0.0
430	CYTK3n	0.0
431	CYTK4	0.0
432	CYTK4n	0.0
433	CYTK5	-9.451449822767183
434	CYTK5n	0.0
435	CYTK6	0.0
436	CYTK6n	0.0
437	CYTK7	0.0
438	CYTK7n	0.0
439	CYTK8	0.0
440	CYTK8n	0.0
441	CYTK9	0.0
442	CYTK9n	0.0
443	D_3AIBt	0.0
444	DADA	0.0
445	DADAe	0.0
446	DADNt4	0.0
447	DAG_HSter	0.0
448	DAGK_hs	4.233734286323049
449	DAGKn_hs	0.0
450	DALAt2r	0.0
451	DASCBR	0.0
452	DASPO1p	0.0
453	DCIm	0.0
454	DCK1n	-109.51779107831167
455	DCK2n	0.0
456	DCSPTN1CPT1	2.3778035335767825e-13
457	DCSPTN1CPT2	2.3778035335767825e-13
458	DCSPTN1CRNt	0.0
459	DCTPtn	109.51779107831167
460	DCYTD	0.0
461	DDPGAm	0.0
462	DECDPtm	0.0
463	DESAT16_2	0.0
464	DESAT18_10	0.0
465	DESAT18_3	0.0
466	DESAT18_4	0.0
467	DESAT18_5	0.0
468	DESAT18_6	0.0
469	DESAT18_7	0.0
470	DESAT18_8	0.0
471	DESAT18_9	0.0
472	DESAT20_1	0.0
473	DESAT20_2	0.0
474	DESAT22_1p	0.0
475	DESAT24_1	0.0
476	DGAT	0.0
477	DGK2m	0.0
478	DGNSKm	0.0
479	DGSNtm	0.0
480	DGULND	-118.8704090709013
481	DHAAt1r	0.0
482	DHCR241r	0.0
483	DHCR242r	0.0
484	DHCR243r	0.0
485	DHCR71r	0.0
486	DHCR72r	0.0
487	DHCRD1	0.0
488	DHCRD2	0.0
489	DHDPBMTm	0.0
490	DHEASt	0.0
491	DHEAStr	0.0
492	DHEASULT	0.0
493	DHFtl	0.0
494	DHFtm	0.0
495	DHORD9	0.0
496	DHPM1	-1.4639541472722774e-13
497	DHPM2	0.0
498	DIDPtn	0.0
499	DIGALSIDEtg	0.0
500	DIGALSIDEtl	0.0
501	DINt	0.0
502	DITPtn	0.0
503	D_LACtm	0.0
504	DLNLCGCPT1	0.0
505	DLNLCGCPT2	0.0
506	DLNLCGCRNt	0.0
507	DLNLCGt	0.0
508	DM_Asn_X_Ser_Thr_ly_	0.0
509	DM_dctp_m_	0.0
510	DM_dem2emgacpail_prot_hs_r_	0.0
511	DM_dgpi_prot_hs_r_	0.0
512	DM_dttp_m_	0.0
513	DM_gncore2_g_	0.0
514	DM_gpi_sig_er_	0.0
515	DM_kdn_c_	0.0
516	DM_mem2emgacpail_prot_hs_r_	0.0
517	DM_Ser_Gly_Ala_X_Gly_ly_	0.0
518	DMATTx	0.0
519	DMGDHm	0.0
520	DMGtm	0.0
521	DMHPTCRNCPT2	0.0
522	DMHPTCRNt	0.0
523	DMHPTCRNte	0.0
524	DMNONCRNCPT2	0.0
525	DNDPt11m	0.0
526	DNDPt23m	0.0
527	DNDPt28m	0.0
528	DNDPt38m	0.0
529	DNDPt59m	0.0
530	DNDPt62m	0.0
531	DOLGLCP_Lter	0.0
532	DOLGPP_Ler	0.0
533	DOLICHOL_Lter	0.0
534	DOLICHOL_Uter	0.0
535	DOLK_U	0.0
536	DOLMANP_Uter	0.0
537	DOLPGT3_Ler	0.0
538	DOLPGT3_Uer	0.0
539	DOLPMT3_Uer	0.0
540	DOLPMT4_Uer	0.0
541	DOPABMO	0.0
542	DOPAMT	0.0
543	DOPASFt	0.0
544	DOPASULT	0.0
545	DOPAt4_2_r	0.0
546	DOPAtu	0.0
547	DOPAVESSEC	0.0
548	DPCOAtl	0.0
549	DPGase	0.0
550	DPGM	0.0
551	DPHMBDCm	0.0
552	DPMVDx	0.0
553	DPPS	0.0
554	DRPA	0.0
555	DSAT	0.0
556	DUDPtn	0.0
557	DUMPtn	0.0
558	DURAD	1.463954147272277e-13
559	DURAD2	0.0
560	DURIK1	0.0
561	DURIK1m	0.0
562	DUTPDPm	0.0
563	DUTPDPn	0.0
564	EAFLATOXINte	0.0
565	EBASTINEOHte	0.0
566	EBASTINEOHtr	0.0
567	EBASTINEte	0.0
568	EBASTINEtr	0.0
569	EBP1r	0.0
570	EBP2r	0.0
571	ECOAH12m	0.0
572	ECOAH1m	0.0
573	ECOAH1x	0.0
574	ECOAH9m	0.0
575	EHGLAT2m	0.0
576	EHGLATm	0.0
577	EICOSTETCPT1	0.0
578	EICOSTETCPT2	0.0
579	EICOSTETCRNt	0.0
580	ELAIDCPT1	0.0
581	ELAIDCPT2	0.0
582	ELAIDCRNt	0.0
583	ENGASE2ly	0.0
584	ENGASE3ly	0.0
585	ENGASEly	0.0
586	ESTRADIOLtr	0.0
587	ESTRIOLtr	0.0
588	ESTRONESt	0.0
589	ESTSULT	0.0
590	ETF	0.0
591	ETFQO	0.0
592	ETHAK	0.0
593	ETHP	0.0
594	ETOHMO	0.0
595	ETOHtx	0.0
596	EX_10fthf[e]	0.0
597	EX_10fthf7glu[e]	0.0
598	EX_1glyc_hs[e]	0.0
599	EX_24nph[e]	0.0
600	EX_2hb[e]	-33.49599258340497
601	EX_34dhoxpeg[e]	0.0
602	EX_3aib[e]	1000.0
603	EX_3aib_D[e]	0.0
604	EX_3mlda[e]	0.0
605	EX_4hphac[e]	0.0
606	EX_4mptnl[e]	0.0
607	EX_4nphsf[e]	0.0
608	EX_4pyrdx[e]	0.0
609	EX_5adtststerones[e]	0.0
610	EX_5fthf[e]	0.0
611	EX_5htrp[e]	0.0
612	EX_5mthf[e]	106.06409698726257
613	EX_7dhf[e]	0.0
614	EX_7thf[e]	-106.06409698726247
615	EX_ach[e]	0.0
616	EX_acnacngal14acglcgalgluside_hs[e]	0.0
617	EX_acngalacglcgal14acglcgalgluside_hs[e]	0.0
618	EX_adprbp[e]	0.0
619	EX_aflatoxin[e]	0.0
620	EX_ak2lgchol_hs[e]	0.0
621	EX_ala_D[e]	0.0
622	EX_aldstrn[e]	0.0
623	EX_aprgstrn[e]	0.0
624	EX_arachd[e]	0.0
625	EX_asp_D[e]	0.0
626	EX_atp[e]	-21.746615143238774
627	EX_bhb[e]	0.0
628	EX_bilglcur[e]	0.0
629	EX_biocyt[e]	0.0
630	EX_chol[e]	-41.63180118930017
631	EX_chsterol[e]	-4.939518081623956
632	EX_chtn[e]	0.0
633	EX_co[e]	0.0
634	EX_coumarin[e]	0.0
635	EX_crtstrn[e]	0.0
636	EX_cspg_a[e]	0.0
637	EX_cspg_b[e]	0.0
638	EX_cspg_c[e]	0.0
639	EX_cspg_d[e]	0.0
640	EX_cyan[e]	0.0
641	EX_dag_hs[e]	0.0
642	EX_dheas[e]	0.0
643	EX_dhf[e]	0.0
644	EX_dlnlcg[e]	0.0
645	EX_dmhptcrn[e]	0.0
646	EX_dopasf[e]	0.0
647	EX_eaflatoxin[e]	0.0
648	EX_ebastine[e]	0.0
649	EX_ebastineoh[e]	0.0
650	EX_estrones[e]	0.0
651	EX_fuc13galacglcgal14acglcgalgluside_hs[e]	0.0
652	EX_fucacngal14acglcgalgluside_hs[e]	0.0
653	EX_fuc_L[e]	0.0
654	EX_gd1c_hs[e]	0.0
655	EX_gluala[e]	0.0
656	EX_glygn2[e]	0.0
657	EX_glygn4[e]	0.0
658	EX_glygn5[e]	0.0
659	EX_gp1c_hs[e]	0.0
660	EX_gp1calpha_hs[e]	0.0
661	EX_gq1b_hs[e]	0.0
662	EX_gq1balpha_hs[e]	0.0
663	EX_gthox[e]	0.0
664	EX_gthrd[e]	-404.4461435053943
665	EX_gtp[e]	0.0
666	EX_hcoumarin[e]	0.0
667	EX_hestratriol[e]	0.0
668	EX_hom_L[e]	0.0
669	EX_htaxol[e]	0.0
670	EX_i[e]	0.0
671	EX_imp[e]	0.0
672	EX_inost[e]	-169.92174637302182
673	EX_ksi[e]	0.0
674	EX_ksi_deg1[e]	0.0
675	EX_ksii_core2[e]	0.0
676	EX_ksii_core4[e]	0.0
677	EX_leuktrA4[e]	-40.83072542896925
678	EX_leuktrB4[e]	0.0
679	EX_leuktrC4[e]	0.0
680	EX_leuktrE4[e]	40.830725428969245
681	EX_lgnc[e]	0.0
682	EX_lnlnca[e]	0.0
683	EX_lpchol_hs[e]	0.0
684	EX_mercplaccys[e]	148.09475816778428
685	EX_n2m2nmasn[e]	0.0
686	EX_nad[e]	0.0
687	EX_nadp[e]	0.0
688	EX_ncam[e]	0.0
689	EX_nifedipine[e]	0.0
690	EX_no[e]	0.0
691	EX_nrvnc[e]	0.0
692	EX_o2s[e]	-1000.0
693	EX_oagd3_hs[e]	0.0
694	EX_oagt3_hs[e]	0.0
695	EX_ocdcea[e]	0.0
696	EX_octa[e]	0.0
697	EX_oxa[e]	0.0
698	EX_paf_hs[e]	0.0
699	EX_pe_hs[e]	-13.407228775640652
700	EX_peplys[e]	0.0
701	EX_pglyc_hs[e]	-3.5281926123927403
702	EX_phyt[e]	0.0
703	EX_prgstrn[e]	0.0
704	EX_prostgd2[e]	0.0
705	EX_prostge1[e]	0.0
706	EX_prostge2[e]	0.0
707	EX_ps_hs[e]	-211.55378968369257
708	EX_ptdca[e]	0.0
709	EX_retn[e]	0.0
710	EX_Rtotal[e]	0.0
711	EX_s2l2fn2m2masn[e]	0.0
712	EX_s2l2n2m2masn[e]	0.0
713	EX_sl_L[e]	0.0
714	EX_spc_hs[e]	0.0
715	EX_sphs1p[e]	0.0
716	EX_srtn[e]	0.0
717	EX_strch1[e]	0.0
718	EX_strch2[e]	0.0
719	EX_tagat_D[e]	0.0
720	EX_taxol[e]	0.0
721	EX_tchola[e]	0.0
722	EX_tcynt[e]	0.0
723	EX_tetpent3[e]	0.0
724	EX_tetpent6[e]	0.0
725	EX_tettet6[e]	0.0
726	EX_thyox_L[e]	0.0
727	EX_triodthy[e]	0.0
728	EX_tststerone[e]	0.0
729	EX_tststerones[e]	0.0
730	EX_tsul[e]	0.0
731	EX_txa2[e]	0.0
732	EX_tymsf[e]	0.0
733	EX_Tyr_ggn[e]	0.0
734	EX_urate[e]	0.0
735	EX_utp[e]	-1000.0000000000001
736	EX_whhdca[e]	0.0
737	EX_whtststerone[e]	0.0
738	EX_xolest_hs[e]	0.0
739	EX_xoltri24[e]	0.0
740	EX_xoltri25[e]	0.0
741	EX_xoltri27[e]	0.0
742	F1Atg	0.0
743	F1PGT	0.0
744	FACOAL140i	0.0
745	FACOAL150	0.0
746	FACOAL160i	0.0
747	FACOAL170	0.0
748	FACOAL180i	0.0
749	FACOAL1812	0.0
750	FACOAL1813	0.0
751	FACOAL181i	0.0
752	FACOAL1821	0.0
753	FACOAL1822	0.0
754	FACOAL1831	0.0
755	FACOAL1832	0.0
756	FACOAL184	0.0
757	FACOAL191	0.0
758	FACOAL200	0.0
759	FACOAL203	0.0
760	FACOAL204	0.0
761	FACOAL2042	0.0
762	FACOAL205	0.0
763	FACOAL206	0.0
764	FACOAL224	0.0
765	FACOAL2251	0.0
766	FACOAL2252	0.0
767	FACOAL226	-2.377803533576783e-13
768	FACOAL240	0.0
769	FACOAL241	0.0
770	FACOAL244_1	0.0
771	FACOAL245_1	0.0
772	FACOAL245_2	0.0
773	FACOAL246_1	0.0
774	FACOAL260	0.0
775	FACOAL40im	0.0
776	FACOAL80i	0.0
777	FADDP	0.0
778	FADH2tru	0.0
779	FADtru	0.0
780	FAEL183	0.0
781	FAEL184	0.0
782	FAEL204	0.0
783	FAEL205	0.0
784	FALDH	0.0
785	FALDtly	0.0
786	FALDtm	0.0
787	FAOXC11	0.0
788	FAOXC140	0.0
789	FAOXC150m	0.0
790	FAOXC160	0.0
791	FAOXC16080m	0.0
792	FAOXC16080x	0.0
793	FAOXC161802m	0.0
794	FAOXC16180m	0.0
795	FAOXC170m	0.0
796	FAOXC180	4.781513440427848
797	FAOXC180x	0.0
798	FAOXC1811601m	0.0
799	FAOXC1811602m	0.0
800	FAOXC1811603m	0.0
801	FAOXC182806m	0.0
802	FAOXC18280m	0.0
803	FAOXC183803m	0.0
804	FAOXC183806m	0.0
805	FAOXC183806x	0.0
806	FAOXC18480m	0.0
807	FAOXC18480x	0.0
808	FAOXC200180m	0.0
809	FAOXC200180x	0.0
810	FAOXC2031836m	0.0
811	FAOXC204	0.0
812	FAOXC204184m	0.0
813	FAOXC2051843m	0.0
814	FAOXC2051843x	0.0
815	FAOXC2242046m	0.0
816	FAOXC2242046x	0.0
817	FAOXC2251836m	0.0
818	FAOXC2251836x	0.0
819	FAOXC2252053m	2.3778035335767825e-13
820	FAOXC2252053x	0.0
821	FAOXC226	0.0
822	FAOXC226205m	0.0
823	FAOXC226205x	0.0
824	FAOXC240200x	0.0
825	FAOXC241181x	0.0
826	FAOXC2442246x	0.0
827	FAOXC2452253x	0.0
828	FAOXC2452256x	0.0
829	FAOXC246226x	0.0
830	FAOXC260240x	0.0
831	FAOXC80	0.0
832	FAS100COA	0.0
833	FAS120COA	0.0
834	FAS140COA	0.0
835	FAS160COA	0.0
836	FAS180COA	0.0
837	FAS80COA_L	0.0
838	FATP1t	0.0
839	FATP2t	0.0
840	FATP3t	0.0
841	FATP5t	0.0
842	FATP8t	0.0
843	FATP9t	0.0
844	FBA4	0.0
845	FBA5	0.0
846	FBP26	0.0
847	FCLTm	0.0
848	FCOAH	0.0
849	FDH	0.0
850	FE3R2e	0.0
851	FK	0.0
852	FKYNH	0.0
853	FOLR2	0.0
854	FOLt2	0.0
855	FORMCOAtx	0.0
856	FORt2m	0.0
857	FORtr	0.0
858	FPGS2	0.0
859	FPGS2m	0.0
860	FPGS3	0.0
861	FPGS3m	0.0
862	FPGS4	0.0
863	FPGS4m	0.0
864	FPGS5	0.0
865	FPGS5m	0.0
866	FPGS6	0.0
867	FPGS6m	0.0
868	FPGS7m	0.0
869	FPGS8	0.0
870	FPGS8m	0.0
871	FPGS9	0.0
872	FPGS9m	0.0
873	FPGSm	0.0
874	FRDPtr	0.0
875	FRUt1r	0.0
876	FTHFDH	0.0
877	FTHFLm	0.0
878	FUC13GALACGLCGAL14ACGLCGALGLUSIDEte	0.0
879	FUCACNGAL14ACGLCGALGLUSIDEte	0.0
880	FUCASE2e	0.0
881	FUCASE2ly	0.0
882	FUCASEe	0.0
883	FUCASEly	0.0
884	FUCtly	0.0
885	FUMAC	0.0
886	FUMm	694.6817986775435
887	FUMSO3tm	0.0
888	FUMSO4tm	0.0
889	FUMtm	0.0
890	FUMTSULtm	0.0
891	G14T2g	0.0
892	G14T3g	0.0
893	G14T4g	0.0
894	G14T5g	0.0
895	G3PD2m	0.0
896	G5SADrm	0.0
897	G5SDym	0.0
898	G6PDH1rer	0.0
899	G6PDH2rer	0.0
900	G6PPer	0.0
901	G6Pter	0.0
902	GACMTRc	0.0
903	GACPAILter	0.0
904	GALASE10ly	0.0
905	GALASE11ly	0.0
906	GALASE12ly	0.0
907	GALASE13ly	0.0
908	GALASE14ly	0.0
909	GALASE15ly	0.0
910	GALASE16ly	0.0
911	GALASE17ly	0.0
912	GALASE18ly	0.0
913	GALASE19ly	0.0
914	GALASE1ly	0.0
915	GALASE20ly	0.0
916	GALASE3ly	0.0
917	GALASE4ly	0.0
918	GALASE5ly	0.0
919	GALASE6ly	0.0
920	GALASE7ly	0.0
921	GALASE8ly	0.0
922	GALASE9ly	0.0
923	GALC	0.0
924	GALGLUSIDEtl	0.0
925	GALGT1	0.0
926	GALGT2	0.0
927	GALGT3	0.0
928	GALGT4	0.0
929	GALNACT1g	0.0
930	GALNACT2g	0.0
931	GALNACT3g	0.0
932	GALNACT4g	0.0
933	GALNACT5g	0.0
934	GALNTg	0.0
935	GALOR	0.0
936	GALSIDEtg	0.0
937	GALSIDEtl	0.0
938	GALt1r	0.0
939	GALT2g	0.0
940	GALTg	0.0
941	GALtly	0.0
